Codice;Ubicazione;Area di Competenza;DescrizioneVia;Civico;CodiceVia;camere;camere_piano;insegna;tipo_attivita_ricettiva;MUNICIPIO;LONGIT;LATIT;Location
EA/1067;Via BARACCHINI FLAVIO N. 1 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via BARACCHINI FLAVIO;1;356;5;;HOUSE & MEDIA SRL;Affittacamere;1;9.1906981237;45.4618486512;45.4618486512, 9.1906981237
EA/912;Viale BLIGNY N. 41 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale BLIGNY;41;4045;1;;B&B La Ringhiera;Bed e Breakfast;5;9.19518038232;45.4510483515;45.4510483515, 9.19518038232
C-EA/456;Via SELVANESCO N. 25 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via SELVANESCO;25;4350;;;bossi quattri e figli;Agriturismo;5;9.19586999258;45.4177825695;45.4177825695, 9.19586999258
C-EA/466;Via MARCELLO BENEDETTO N. 93 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MARCELLO BENEDETTO;93;2128;1;0;;Affittacamere;3;9.20993552205;45.4832578818;45.4832578818, 9.20993552205
C-EA/476;Viale MONTELLO N. 14 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale MONTELLO;14;7126;;3;;Affittacamere;1;9.18085523065;45.4795306804;45.4795306804, 9.18085523065
C-EA/489;VIA VARANINI LUIGI N. 23 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA VARANINI LUIGI;23;658;9;0;;Case Ferie;;;;
C-EA/502;Via AMPERE ANDREA MARIA N. 3 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via AMPERE ANDREA MARIA;3;2428;65;0;;Casa per ferie;3;9.22636385044;45.4800518307;45.4800518307, 9.22636385044
C-EA/527;Via VITTORINI ELIO N. 5 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VITTORINI ELIO;5;3379;5;5;;Affittacamere;4;9.26145424528;45.4444665803;45.4444665803, 9.26145424528
C-EA/528;Via SAMMARTINI GIOVANNI BATTISTA N. 15 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via SAMMARTINI GIOVANNI BATTISTA;15;1202;6;6;;Affittacamere;2;9.2040284645;45.4878522683;45.4878522683, 9.2040284645
C-EA/536;Via VITTORINI ELIO N. 5 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VITTORINI ELIO;5;3379;;3;;Bed e Breakfast;4;9.26145424528;45.4444665803;45.4444665803, 9.26145424528
C-EA/541;Via FORLANINI CARLO N. 1 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via FORLANINI CARLO;1;3171;3;3;;Bed e Breakfast;3;9.23068114267;45.4718962366;45.4718962366, 9.23068114267
C-EA/543;Corso PORTA ROMANA (DI) N. 51 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Corso PORTA ROMANA (DI);51;402;;10;;Casa per ferie;1;9.19429544347;45.4571086623;45.4571086623, 9.19429544347
C-EA/551;Corso BUENOS AIRES N. 37 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Corso BUENOS AIRES;37;2129;3;0;;Affittacamere;3;9.21020629273;45.4797991558;45.4797991558, 9.21020629273
C-EA/557;Via VOGHERA N. 7 (z.d. 6);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VOGHERA;7;5123;3;0;;Bed e Breakfast;6;9.16796353933;45.4543442385;45.4543442385, 9.16796353933
C-EA/559;Via ARICI CESARE N. 24 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via ARICI CESARE;24;2464;1;0;;Bed e Breakfast;2;9.23896864732;45.5044237122;45.5044237122, 9.23896864732
C-EA/570;Via EMILIANI SAN GEROLAMO N. 2 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via EMILIANI SAN GEROLAMO;2;4082;3;3;;Affittacamere;4;9.20770809735;45.4496633159;45.4496633159, 9.20770809735
C-EA/573;Corso COMO N. 10 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Corso COMO;10;1111;;0;;Affittacamere;9;9.18743781412;45.4819253615;45.4819253615, 9.18743781412
C-EA/574;Via VETTA D'ITALIA N. 14 (z.d. 7);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via VETTA D'ITALIA;14;6236;;3;;Bed e Breakfast;7;9.15761708364;45.4606251274;45.4606251274, 9.15761708364
C-EA/579;Via FARINI CARLO num.040/a (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via FARINI CARLO;;1114;;5;;Affittacamere;;;;
C-EA/580;Vicolo CALUSCA num.010/c (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Vicolo CALUSCA;;5171;;1;;Bed e Breakfast;;;;
C-EA/590;Via PAULUCCI DI CALBOLI FULCIERI N. 32 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PAULUCCI DI CALBOLI FULCIERI;32;1590;1;0;;Bed e Breakfast;9;9.19161772;45.5173581215;45.5173581215, 9.19161772
C-EA/599;Via QUADRONNO N. 23 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via QUADRONNO;23;4021;43;0;;Casa per ferie;1;9.19342048514;45.4541996331;45.4541996331, 9.19342048514
C-EA/602;Via MACCONAGO N. 20 (z.d. 5);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MACCONAGO;20;4298;6;0;;Affittacamere;5;9.20963634271;45.4133954565;45.4133954565, 9.20963634271
C-EA/785;Via MACHIAVELLI NICCOLO' N. 8 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via MACHIAVELLI NICCOLO';8;6351;6;3;;Affittacamere;1;9.16835551087;45.4739720166;45.4739720166, 9.16835551087
C-EA/798;Via PETRELLA ERRICO N. 20 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via PETRELLA ERRICO;20;2137;2;2;;Bed e Breakfast;3;9.20942451081;45.4840563544;45.4840563544, 9.20942451081
C-EA/801;VIA CIAIA IGNAZIO N. 5 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;VIA CIAIA IGNAZIO;5;1294;5;5;;Foresteria Lombarda/Locanda;9;9.17639487747;45.5025244002;45.5025244002, 9.17639487747
C-EA/802;Via LECCO N. 2 3g piano (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via LECCO;2;2110;3;3;;Affittacamere;3;9.20352842293;45.4759502364;45.4759502364, 9.20352842293
C-EA/812;Viale PASUBIO N. 8 (z.d. 9);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Viale PASUBIO;8;1112;1;1;;Bed e Breakfast;9;9.18498365931963;45.4815175682006;45.4815175682006, 9.18498365931963
C-EA/814;Via OZIERI N. 3 (z.d. 4);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via OZIERI;3;3097;;1;;Bed e Breakfast;4;9.22228652795;45.4652639521;45.4652639521, 9.22228652795
C-EA/819;Via SCHIAPARELLI GIOVANNI N. 7 (z.d. 2);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via SCHIAPARELLI GIOVANNI;7;1211;2;2;;Bed e Breakfast;2;9.20432895953;45.4898706496;45.4898706496, 9.20432895953
C-EA/820;Passaggio DUOMO N. 2 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Passaggio DUOMO;2;102;4;4;;Affittacamere;1;9.1881957576;45.464238686;45.464238686, 9.1881957576
C-EA/824;Via LEOPARDI GIACOMO N. 12 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via LEOPARDI GIACOMO;12;6156;3;3;;Bed e Breakfast;1;9.17444862028;45.4683184872;45.4683184872, 9.17444862028
C-EA/825;Corso GARIBALDI GIUSEPPE N. 123 (z.d. 1);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Corso GARIBALDI GIUSEPPE;123;1010;33;69;;Casa per ferie;1;9.186105207;45.4796924354;45.4796924354, 9.186105207
C-EA/829;Via ASTOLFO N. 18 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via ASTOLFO;18;2566;;0;;Affittacamere;3;9.23342367692;45.4850979293;45.4850979293, 9.23342367692
C-EA/835;Via TADINO ALESSANDRO N. 46 (z.d. 3);ATTIVITA RICETTIVE - Strutt. Extra-albergh;Via TADINO ALESSANDRO;46;2109;1;1;;Bed e Breakfast;3;9.21003831542;45.4814203707;45.4814203707, 9.21003831542
